iter	RMSE
127	0.3195494111
128	0.3193100899
129	0.3191352366
130	0.3188451555
131	0.3185792189
132	0.3184285516
133	0.3183075049
134	0.318093472
135	0.3180180918
136	0.3174970449
137	0.3173940915
138	0.3172117392
139	0.3168998904
140	0.3163996302
141	0.3159357246
142	0.3157288063
143	0.3156227178
144	0.3152830136
145	0.3149110687
146	0.314666006
147	0.3143073282
148	0.3141599872
149	0.3137567403
150	0.3136760935
151	0.3133987207
152	0.3132414214
153	0.3126528937
154	0.3124108432
155	0.3122064314
156	0.3121911655
157	0.3121023638
158	0.3116050222
159	0.3115214
160	0.3110471892
161	0.3106433813
162	0.3102515225
163	0.3100609299
164	0.3098877967
165	0.3095884357
166	0.3094773698
167	0.309381569
168	0.3092701083
169	0.3089418115
170	0.3088558993
171	0.3086224976
172	0.3085537434
173	0.3082433972
174	0.3081833431
175	0.3075521636
176	0.3071992148
177	0.3066912576
178	0.3063521264
179	0.3061976049
180	0.3061440308
181	0.3056081515
182	0.305402645
183	0.305329341
184	0.3052004638
185	0.3048855155
186	0.3048690534
187	0.3047914475
188	0.3047424059
189	0.3044836651
190	0.3042083537
191	0.3040624218
192	0.3039989358
193	0.3038856918
194	0.3038679629
195	0.3037906498
196	0.3036362821
197	0.3033980865
198	0.30337106
199	0.303283004
200	0.3030611469
201	0.3028840512
202	0.3027854988
203	0.3024120428
204	0.3022438552
205	0.3021216561
206	0.3019961929
207	0.3018698111
208	0.3016531298
209	0.3014034696
210	0.3012856111
211	0.3010795685
212	0.3009031632
213	0.3007575812
214	0.3004419045
215	0.3002857537
216	0.299928832
217	0.2997488564
218	0.2995448601
219	0.2994638716
220	0.2992706978
221	0.2991738742
222	0.2990226674
223	0.2988961262
224	0.298689447
225	0.2986433403
226	0.2985796074
227	0.2979986444
228	0.297758877
229	0.297717617
230	0.2974935655
231	0.2973273453
232	0.29728825
233	0.2972490722
234	0.2971858269
235	0.2970518999
236	0.2970058121
237	0.2969025261
238	0.2966179582
239	0.2965502969
240	0.2964313914
241	0.2963358159
242	0.2960932013
243	0.2958799415
244	0.2957382926
245	0.2954348191
246	0.2952608311
247	0.2950747006
248	0.2949166725
249	0.2947236592
250	0.2943493931
251	0.2942904876
252	0.2940683918
253	0.2939916986
254	0.2939141026
255	0.2937688029
256	0.2936642351
257	0.2934811593
258	0.2934693812
259	0.2932142007
260	0.2929539716
261	0.2928546278
262	0.2928068535
263	0.2925653223
264	0.2924837647
265	0.2924299356
266	0.2922029298
267	0.2920920981
268	0.2920320968
269	0.291985604
270	0.2916260282
271	0.2911968201
272	0.2911243354
273	0.29072904
274	0.2906556847
275	0.2905864431
276	0.2905085984
277	0.2900672077
278	0.2900003571
279	0.2898643681
280	0.2896992019
281	0.2895926278
282	0.289535708
283	0.2893907047
284	0.2892884881
285	0.289248641
286	0.2891714503
287	0.2887481974
288	0.2886699456
289	0.2882391769
290	0.2878027023
291	0.2877689683
292	0.2877128235
293	0.2876170438
294	0.2874382143
295	0.2871648564
296	0.2869923376
297	0.286861505
298	0.2865335593
299	0.2861057833
300	0.2857330176
301	0.285466947
302	0.2853645578
303	0.2851738556
304	0.2849227972
305	0.2846383478
306	0.2843886601
307	0.284097445
308	0.283932781
309	0.2837848043
310	0.2837006445
311	0.2833805737
312	0.2832587783
313	0.2831692281
314	0.2829621356
315	0.2825552913
316	0.282465699
317	0.2820566102
318	0.2817409312
319	0.2814408874
320	0.2813630277
321	0.2810950006
322	0.2809281246
323	0.2806878743
324	0.2805797354
325	0.280290936
326	0.2800801644
327	0.2798369011
328	0.2795973896
329	0.2793460603
330	0.2793076928
331	0.2790148376
332	0.2789112365
333	0.2785333483
334	0.2785101974
335	0.2782410494
336	0.2780076858
337	0.2779603052
338	0.2776967379
339	0.2776628438
340	0.2774129574
341	0.277351303
342	0.2772759785
343	0.2770601057
344	0.276697508
345	0.2765491921
346	0.2763527282
347	0.2761239661
348	0.2759527544
349	0.27588026
350	0.2758063376
351	0.2756371726
352	0.2753821039
353	0.2751280319
354	0.275057456
355	0.274829003
356	0.2746452764
357	0.2739748793
358	0.2737656053
359	0.2737140859
360	0.2736551705
361	0.2735734637
362	0.273437736
363	0.2732114925
364	0.2729934231
365	0.2724986225
366	0.272149612
367	0.2719715892
368	0.2718347911
369	0.2716658004
370	0.2713951532
371	0.2712016053
372	0.2710594634
373	0.2709234848
374	0.2703731067
375	0.2702070665
376	0.27004629
377	0.2699171515
378	0.2695918426
379	0.2694292057
380	0.2692762356
381	0.269081095
382	0.2687695554
383	0.2686439545
384	0.2684051217
385	0.2683152251
386	0.2679966326
387	0.2678117476
388	0.2674665416
389	0.2671855521
390	0.2670615436
391	0.2670004063
392	0.266806089
393	0.2666103848
394	0.2665526123
395	0.2664203718
396	0.2662639113
397	0.2661252138
398	0.2658552994
399	0.265629752
400	0.2655835104
401	0.2655233181
402	0.2654691265
403	0.2654220958
404	0.2652959865
405	0.2651447418
406	0.2650183647
407	0.2648465434
408	0.2646218011
409	0.2641016367
410	0.264046365
411	0.2637252653
412	0.2635933582
413	0.2635043801
414	0.2633430423
415	0.2631932709
416	0.2631075368
417	0.2629572098
418	0.2627685001
419	0.2626394172
420	0.2625000018
421	0.2622245054
422	0.2621327216
423	0.2620702896
424	0.2619649085
425	0.261836475
426	0.261670031
427	0.2613769156
428	0.2612546257
429	0.2609746085
430	0.260676609
431	0.2605220807
432	0.2603522614
433	0.2602818265
434	0.2601475337
435	0.2599352907
436	0.2598828352
437	0.2597353899
438	0.2594264535
439	0.2593671247
440	0.2591744868
441	0.2591140303
442	0.2589628346
443	0.2589079939
444	0.2587392315
445	0.2585359169
446	0.258490127
447	0.2582454588
448	0.2581242963
449	0.2580627693
450	0.2578727568
451	0.2578144359
452	0.2577308308
453	0.2576700343
454	0.2575438791
455	0.2574867211
456	0.2573553803
457	0.2573135258
458	0.2572116343
459	0.2571728201
460	0.2570460616
461	0.2570029028
462	0.2567542753
463	0.2566946588
464	0.2565445046
465	0.2564340652
466	0.2562832514
467	0.2560241441
468	0.2559857282
469	0.2558353561
470	0.2557923746
471	0.2555825688
472	0.2553438903
473	0.2552303444
474	0.2549966894
475	0.2549315585
476	0.2548814251
477	0.2546503855
478	0.2544024688
479	0.2542941042
480	0.2542665179
481	0.254129991
482	0.2538694779
483	0.2536453639
484	0.2536053195
485	0.2535423959
486	0.2533501326
487	0.2533124163
488	0.2531604883
489	0.2530357824
490	0.2530007219
491	0.252803223
492	0.2526110997
493	0.2525196448
494	0.2523790943
495	0.2523387534
496	0.2521086206
497	0.251947235
498	0.2517407936
499	0.2517023036
500	0.2515906162
501	0.2514658242
502	0.2513860039
503	0.2512603763
504	0.2512112769
505	0.2511659074
506	0.2510936395
507	0.2508737601
508	0.2508070096
509	0.2506839831
510	0.2505820912
511	0.2505347586
512	0.2504923691
513	0.2503388381
514	0.2502351069
515	0.2500432013
516	0.2498202278
517	0.2496822404
518	0.2496515393
519	0.2495956051
520	0.2494826811
521	0.2494345733
522	0.2494106745
523	0.2492991839
524	0.2492546098
525	0.2491258433
526	0.2490199029
527	0.2487626992
528	0.2487087361
529	0.2486027712
530	0.2485563094
531	0.2484155526
532	0.2483754981
533	0.2483456551
534	0.2481718871
535	0.2480998069
536	0.247855676
537	0.247799005
538	0.2477172716
539	0.2475706585
540	0.2473493334
541	0.2472696418
542	0.2471301608
543	0.2470155239
544	0.2467489903
545	0.2466847
546	0.2464848453
547	0.2463994268
548	0.2463684213
549	0.2462378909
550	0.2461269615
551	0.2460638417
552	0.2458336052
553	0.2457141651
554	0.2455127018
555	0.2454117111
556	0.245051007
557	0.2450150247
558	0.2448782941
559	0.244741133
560	0.2447098962
561	0.2445426465
562	0.2443945052
563	0.2443487185
564	0.2443073654
565	0.2441990049
566	0.2440339664
567	0.2438053281
568	0.2437432124
569	0.2435510005
570	0.2435020577
571	0.2432881988
572	0.2430130833
573	0.2429796833
574	0.2429120427
575	0.2427367166
576	0.2426030876
577	0.2423854041
578	0.2423677006
579	0.2423251411
580	0.242200057
581	0.2421624315
582	0.2420761032
583	0.2419879372
584	0.2419478343
585	0.2418742399
586	0.2416407136
587	0.241478134
588	0.2414257335
589	0.2412623712
590	0.2410843627
591	0.240823271
592	0.2407807886
593	0.2405674287
594	0.2404377606
595	0.2403724654
596	0.2403321331
597	0.2401075347
598	0.2399815883
599	0.239891917
600	0.239735589
601	0.239553851
602	0.2394483968
603	0.239410712
604	0.239370215
605	0.2391876086
606	0.2390104342
607	0.2388854774
608	0.2386511593
609	0.2384650039
610	0.2383734834
611	0.2381466663
612	0.2379699661
613	0.2377674397
614	0.2376096262
615	0.237461995
616	0.2372856962
617	0.2372494678
618	0.2371967239
619	0.2371029738
620	0.2370547484
621	0.2370208675
622	0.2369008033
623	0.2368163522
624	0.2366856735
625	0.2366601943
626	0.2365331307
627	0.2364196898
628	0.2362715732
629	0.236078855
630	0.2360445828
631	0.2358553664
632	0.2357476933
633	0.235670426
634	0.2355238688
635	0.2351992564
636	0.2351487542
637	0.2349804031
638	0.234935474
639	0.2348865787
640	0.234710694
641	0.2345227168
642	0.2344705059
643	0.2342955351
644	0.2341293848
645	0.2340953231
646	0.2340217233
647	0.2339447373
648	0.233889603
649	0.2336631206
650	0.2336127145
651	0.2334697771
652	0.2334239804
653	0.2333676179
654	0.2332562207
655	0.23315068
656	0.2329039604
657	0.2328726658
658	0.2328464697
659	0.2326722809
660	0.2325221751
661	0.2324678181
662	0.2324373854
663	0.2323097136
664	0.232120422
665	0.2320089396
666	0.231970879
667	0.2319289307
668	0.2319067695
669	0.2317866828
670	0.2315753785
671	0.2315241951
672	0.231336506
673	0.2310929308
674	0.2309275162
675	0.2308927969
676	0.230713446
677	0.230680717
678	0.2305032823
679	0.2303932599
680	0.2303615551
681	0.2301557914
682	0.2300989746
683	0.2299914801
684	0.2298335121
685	0.229779155
686	0.2296678915
687	0.2295948596
688	0.2294421355
689	0.2293049833
690	0.2292429505
691	0.229156467
692	0.2291216175
693	0.229080408
694	0.2289095722
695	0.2288001715
696	0.2287072016
697	0.2285437621
698	0.2284269725
699	0.2283318097
700	0.2283108849
701	0.228238729
702	0.2281470145
703	0.2280468182
704	0.2279133943
705	0.2278429505
706	0.2278150061
707	0.2276403833
708	0.2275173853
709	0.2274229714
710	0.2273617742
711	0.2273340907
712	0.2272130841
713	0.2270731087
714	0.2270077608
715	0.2268495096
716	0.2267152092
717	0.2266087287
718	0.2264592377
719	0.2263260158
720	0.2262466943
721	0.2261451418
722	0.2259839478
723	0.2259494597
724	0.2258133839
725	0.2257768836
726	0.2255896391
727	0.2254649952
728	0.2254104676
729	0.2253401544
730	0.2250896533
731	0.2250647736
732	0.2249527657
733	0.2248896889
734	0.2248386562
735	0.2247692619
736	0.224564284
737	0.2243706796
738	0.2243584538
739	0.2242740751
740	0.2242062616
741	0.2241109086
742	0.2240451532
743	0.2239556803
744	0.2239293981
745	0.2236694875
746	0.2235446386
747	0.2234129512
748	0.2231739049
749	0.2230329579
750	0.222919955
751	0.2227640282
752	0.2226454818
753	0.2223881135
754	0.2222869053
755	0.2221377532
756	0.2220276688
757	0.2219888401
758	0.2219782611
759	0.2217781178
760	0.2216475696
761	0.2213976623
762	0.2212900101
763	0.2211298967
764	0.221069088
765	0.2208555564
766	0.2207384909
767	0.2206947391
768	0.2205602051
769	0.2203401849
770	0.2200767609
771	0.2199824275
772	0.2197994208
773	0.2197620833
774	0.219618199
775	0.2195473142
776	0.2194428165
777	0.219369753
778	0.219266142
779	0.2191197871
780	0.2190780001
781	0.2190432154
782	0.2189530141
783	0.2189112911
784	0.218765207
785	0.218612158
786	0.2185851211
787	0.2185417328
788	0.2185092446
789	0.2184073752
790	0.2183650838
791	0.2182819197
792	0.218135609
793	0.2180221317
794	0.2178370304
795	0.2177173105
796	0.2176009362
797	0.2174649641
798	0.2174365115
799	0.2173723735
800	0.217266501
801	0.2171038153
802	0.2170589231
803	0.2169048722
804	0.2168240307
805	0.2167565338
806	0.2166097815
807	0.2165174489
808	0.2164766945
809	0.2163397694
810	0.2162120584
811	0.2161868872
812	0.2159346316
813	0.2158722663
814	0.2157913413
815	0.215702948
816	0.215588278
817	0.2154860304
818	0.2153670266
819	0.2152331415
820	0.2151615126
821	0.2149567299
822	0.2148290849
823	0.2148012708
824	0.2147614244
825	0.2146994765
826	0.2146565092
827	0.2145879075
828	0.2145233088
829	0.214391252
830	0.214292744
831	0.2141784525
832	0.2140135115
833	0.2140011005
834	0.2138777169
835	0.2137473702
836	0.2137160036
837	0.213707378
838	0.2135580966
839	0.213500805
840	0.2134551877
841	0.2132788363
842	0.2132323692
843	0.2131707469
844	0.2131339399
845	0.2130683623
846	0.2129586297
847	0.2128305721
848	0.212745639
849	0.2126612694
850	0.2125355269
851	0.2123651569
852	0.2123193499
853	0.2121207949
854	0.2119762863
855	0.2118661552
856	0.2117093345
857	0.2114926075
858	0.2114790925
859	0.2114659504
860	0.2112727529
861	0.2112080754
862	0.2111196193
863	0.2109299987
864	0.2108596819
865	0.2106789565
866	0.2105862117
867	0.2105267584
868	0.2104330423
869	0.2102848032
870	0.2101194384
871	0.2100163766
872	0.2099198862
873	0.2098885652
874	0.2098711916
875	0.2097536687
876	0.2097278217
877	0.2097061513
878	0.2096862748
879	0.2096653218
880	0.2095723591
881	0.2094999013
882	0.2093880396
883	0.2092146644
884	0.2090641805
885	0.2089150483
886	0.2088088234
887	0.2086794549
888	0.2085086227
889	0.2083696099
890	0.2083449679
891	0.2082882917
892	0.2081851008
893	0.2080930776
894	0.2079483414
895	0.2079017809
896	0.2078321721
897	0.2077056357
898	0.2076676711
899	0.2075937349
900	0.2075412791
901	0.2074830171
902	0.2073993628
903	0.2073600432
904	0.207196736
905	0.2071143379
906	0.2070196229
907	0.2069336567
908	0.2068061553
909	0.2067133934
910	0.206605249
911	0.2065251927
912	0.2063908656
913	0.2063145674
914	0.2061868051
915	0.2061037188
916	0.2060395612
917	0.2060081771
918	0.2058720891
919	0.2057947647
920	0.2057295915
921	0.2056573557
922	0.205456349
923	0.2053648083
924	0.2052786117
925	0.2051335447
926	0.2050371776
927	0.2049925549
928	0.2048968082
929	0.2048253797
930	0.2047949035
931	0.2047356616
932	0.204633137
933	0.2045073371
934	0.204414623
935	0.2042975936
936	0.2042087854
937	0.2041303587
938	0.2040532491
939	0.2040431827
940	0.203947512
941	0.2039106904
942	0.2037718843
943	0.2037084669
944	0.2035779713
945	0.2035183328
946	0.203427407
947	0.2033697275
948	0.2033292228
949	0.2031603785
950	0.2029960091
951	0.2028927909
952	0.2027366092
953	0.2026236475
954	0.2025121767
955	0.2024426616
956	0.2022132918
957	0.2019808318
958	0.2019149397
959	0.2017926516
960	0.2016395222
961	0.2014981339
962	0.2014414235
963	0.2013184049
964	0.2012827703
965	0.2011594885
966	0.2009859917
967	0.2008397571
968	0.2007848803
969	0.2007472832
970	0.2006020883
971	0.2004448344
972	0.2003526848
973	0.2002260986
974	0.2001539538
975	0.2001125559
976	0.2000053813
977	0.1999322748
978	0.1999113563
979	0.199890866
980	0.199665969
981	0.1995138307
982	0.199457269
983	0.1994094502
984	0.1993820265
985	0.1992993447
986	0.1990846925
987	0.1989334227
988	0.1988453728
989	0.1988292796
990	0.1987881162
991	0.1986619119
992	0.1985621482
993	0.1984819912
994	0.1983654598
995	0.198315799
996	0.19824615
997	0.1981897965
998	0.1981608615
999	0.1980928957
